dir,t_in,t_out,entry,exit,lots,move,pnl,reason,bal,p10,p30,h4body,mfe,mae,_b
-1,2025-07-25 10:10:00,2025-07-25 12:20:00,3357.23,3348.3500000000004,0.01,8.879999999999654,8.879999999999654,TRAIL,10008.88,0.7020689359677238,0.22498900739613534,0.7333149222130121,13.879999999999654,-3.1700000000000728,Q2
-1,2025-07-25 13:10:00,2025-07-25 17:10:00,3345.74,3342.5600000000004,0.01,3.1799999999993815,3.1799999999993815,TIME,10012.059999999998,0.7002903825568784,0.2411169632799941,0.9669064748201139,8.9699999999998,-2.1400000000003274,Q3
-1,2025-07-25 23:00:00,2025-07-28 01:00:00,3337.69,3321.8300000000004,0.01,15.859999999999673,15.859999999999673,TIME,10027.919999999998,0.8921743177205232,0.5966009213211758,0.6653465346534823,15.859999999999673,-1.6700000000000728,Q2
-1,2025-07-28 20:00:00,2025-07-29 01:00:00,3312.15,3315.23,0.01,-3.0799999999999272,-3.0799999999999272,TIME,10024.839999999998,0.7627095802068706,0.2811720543400395,1.0074580484772757,3.049999999999727,-6.980000000000018,Q3
-1,2025-07-29 06:05:00,2025-07-29 10:05:00,3318.13,3318.2200000000003,0.01,-0.09000000000014552,-0.09000000000014552,TIME,10024.749999999998,0.7583383947268906,0.2831095739755475,0.22740261693486077,8.759999999999764,-4.619999999999891,Q1 low
-1,2025-07-30 16:10:00,2025-07-30 16:45:00,3311.96,3306.19,0.01,5.769999999999982,5.769999999999982,TRAIL,10030.519999999999,0.7030381967236992,0.20869673441760256,1.3053951330273101,10.769999999999982,-2.550000000000182,Q4 high
-1,2025-07-30 16:50:00,2025-07-30 18:45:00,3306.08,3294.0600000000004,0.01,12.019999999999527,12.019999999999527,TRAIL,10042.539999999997,0.7170946677519333,0.23222710923620782,1.3053951330273101,17.019999999999527,-2.5900000000001455,Q4 high
-1,2025-07-30 19:35:00,2025-07-30 21:55:00,3294.35,3284.84,0.01,9.509999999999764,9.509999999999764,TRAIL,10052.049999999997,0.7048770425639836,0.21275541206623524,1.3053951330273101,14.509999999999764,-10.610000000000127,Q4 high
1,2025-08-01 20:20:00,2025-08-04 01:00:00,3347.82,3365.6,0.01,17.779999999999745,17.779999999999745,TIME,10069.829999999998,0.7095184112503206,0.3066149678584624,0.2964052399356905,17.779999999999745,-1.900000000000091,Q1 low
1,2025-08-04 19:10:00,2025-08-04 23:10:00,3376.4100000000003,3375.12,0.01,-1.2900000000004184,-1.2900000000004184,TIME,10068.539999999997,0.7047950526100402,0.22385812941985167,0.5077523875807105,1.7499999999995453,-5.870000000000346,Q1 low
