dir,t_in,t_out,entry,exit,lots,move,pnl,reason,bal,p10,p30,h4body,mfe,mae,_b
1,2026-04-06 11:05:00,2026-04-06 13:05:00,4693.8,4697.49,0.01,3.6899999999996,3.6899999999996,TIME,10003.689999999999,85.73884121678503,1.0550716524258617,0.07898599190449421,12.819999999999709,-11.270000000000437,Q1 low
-1,2026-04-07 17:05:00,2026-04-07 17:25:00,4624.3,4649.3,0.01,-25.0,-25.0,SL,9978.689999999999,76.31454355550774,1.0802149635566556,0.07741140503033088,16.600000000000364,-25.56999999999971,Q1 low
1,2026-04-07 21:01:00,2026-04-07 23:01:00,4679.83,4700.4,0.01,20.56999999999971,20.56999999999971,TIME,9999.259999999998,65.27399720126667,0.9862870029194812,0.0281908499397108,38.81999999999971,-22.30999999999949,Q1 low
1,2026-04-07 23:02:00,2026-04-08 01:02:00,4710.83,4743.01,0.01,32.18000000000029,32.18000000000029,TIME,10031.439999999999,79.02112571047219,0.933460399741852,0.2054834760545929,36.23000000000047,-13.430000000000291,Q2
1,2026-04-08 01:30:00,2026-04-08 03:30:00,4735.7,4822.73,0.01,87.02999999999975,87.02999999999975,TIME,10118.469999999998,79.45413067818696,0.6773277071839411,0.3361368986310299,122.02000000000044,-21.899999999999636,Q2
-1,2026-04-09 02:10:00,2026-04-09 04:10:00,4707.45,4716.28,0.01,-8.829999999999927,-8.829999999999927,TIME,10109.639999999998,76.34335881730378,1.0841772880147162,0.44313592976624605,8.61999999999989,-12.860000000000582,Q2
1,2026-04-09 17:05:00,2026-04-09 17:36:00,4772.92,4747.92,0.01,-25.0,-25.0,SL,10084.639999999998,85.05695578164362,0.5367136158248678,0.24883031375206097,3.4399999999996,-25.649999999999636,Q2
1,2026-04-09 18:20:00,2026-04-09 20:20:00,4783.66,4797.67,0.01,14.010000000000218,14.010000000000218,TIME,10098.649999999998,84.43225291502891,1.3616042131899044,0.37940785133813454,17.31999999999971,-5.930000000000291,Q2
1,2026-04-10 15:00:00,2026-04-10 17:00:00,4768.42,4775.34,0.01,6.920000000000073,6.920000000000073,TIME,10105.569999999998,73.9396376981986,0.8939355201371619,0.006344033858533405,13.890000000000327,-8.600000000000364,Q1 low
1,2026-04-10 17:20:00,2026-04-10 18:36:00,4788.610000000001,4763.610000000001,0.01,-25.0,-25.0,SL,10080.569999999998,78.21792296893967,0.514533575775778,0.20621794539158567,6.4299999999993815,-33.17000000000098,Q2
-1,2026-04-13 01:25:00,2026-04-13 03:25:00,4657.58,4673.1900000000005,0.01,-15.610000000000582,-15.610000000000582,TIME,10064.959999999997,84.72268951778149,0.7660282463797865,0.0206965504154287,13.179999999999382,-18.860000000000582,Q1 low
-1,2026-04-13 13:25:00,2026-04-13 15:25:00,4711.81,4707.75,0.01,4.0600000000004,4.0600000000004,TIME,10069.019999999997,67.1955165825253,0.5233065005672073,0.3053897884107657,7.850000000000364,-17.61999999999989,Q2
-1,2026-06-09 19:00:00,2026-06-09 21:00:00,4272.46,4263.52,0.01,8.9399999999996,8.9399999999996,TIME,10077.959999999995,85.3592461463487,0.6215164345148779,0.5027967953425434,35.51000000000022,-8.980000000000473,Q2
-1,2026-06-10 03:35:00,2026-06-10 05:35:00,4206.32,4179.56,0.01,26.75999999999931,26.75999999999931,TIME,10104.719999999994,89.7492800196647,0.9842303654929498,1.2377159516166527,31.8799999999992,-14.680000000000291,Q4 high
-1,2026-06-10 05:59:00,2026-06-10 07:59:00,4173.52,4175.0,0.01,-1.4799999999995634,-1.4799999999995634,TIME,10103.239999999994,78.88181559485267,0.47224211443566766,1.3804976758005025,0.7100000000000364,-14.05999999999949,Q4 high
-1,2026-06-10 15:09:00,2026-06-10 15:30:00,4145.88,4170.88,0.01,-25.0,-25.0,SL,10078.239999999994,79.08634097738648,0.6180862601678982,1.4613672905494515,14.909999999999854,-28.06999999999971,Q4 high
